id_drug|contra_indication 
0|Severe kidney dysfunction
0|hypersensitive
0|digestive tract obstruction
0|very weak patient
1|It should not be given to patients with severely impaired kidney function
2|In patients who have a history of hypersensitivity to the ingredients in this product
3|Do not give to people with severe kidney dysfunction
3|because it can cause hypermagnesia, magnesium levels in the blood increase
4|Do not give to people with severe kidney dysfunction
4|because it can cause hypermagnesia, magnesium levels in the blood increase
5|Do not give to people with severe kidney dysfunction, because it can cause hypermagnesia (increased magnesium levels in the blood)
5|Should not be used in patients who are hypersensitive to aluminum hydroxide, magnesium hydroxide, simethicone or any other component in this drug formulation
6|Do not give to people with severe kidney dysfunction, because it can cause hypermagnesia (increased magnesium levels in the blood)
6|Should not be used in patients who are hypersensitive to aluminum hydroxide, magnesium hydroxide, simethicone or any other component in this drug formulation
7|Hypersensitivity to any of the components of the drug
7|Contraindicated for patients experiencing acute pancreatitis or acute exacerbation of chronic pancreatitis
7|Contraindicated for patients taking anticoagulants
8|Patients who are hypersensitive to aluminum, magnesium, simethicone
8|Patients with severe kidney function disorders, because it can cause hypermagnesemia, magnesium levels in the blood increase
9|Patients who are hypersensitive to aluminum, magnesium, simethicone
9|Patients with severe kidney function disorders, because it can cause hypermagnesemia, magnesium levels in the blood increase
10|Do not give it to people with severe kidney dysfunction, because it can cause hypermagnesia, increasing magnesium levels in the blood
11|Do not give it to people with severe kidney dysfunction, because it can cause hypermagnesia, increasing magnesium levels in the blood
12|Hypersensitivity and sufferers of severe kidney disorders
13|Patients who have a history of allergies to one of the components of the drug
14|If excessive and dangerous side effects occur, please consult medical personnel
15|Do not use Promag medication if you are allergic to any of its ingredients
15|This drug is also not recommended for people with kidney disorders
15|Promag contains magnesium so it can cause hypermagnesemia
16|Hypersensitivity to drug components
17|BISOLVON EXTRA should not be used in patients with known hypersensitivity to bromhexine, guaifenesin or any other component in the formula
17|Guaifenesin is considered unsafe in patients with porphyria because it has been shown to be porphyrinogenic in animals
17|In cases of rare congenital disorders, namely conditions where there is a mismatch with the additional substances contained in the medicinal product attached to the product composition, use of the product is contraindicated.
18|Hypersensitivity to any component of this drug
19|Sufferers are hypersensitive to any of the components of this drug
19|Should not be used on newborns or preadult babies
19|Ototoxic antibiotic therapy because it will cause an ototoxic reaction
20|Hypersensitivity to Acetylcysteine ​​or additional substances of this drug Children under 2 years
21|In patients who have a history of hypersensitivity to the ingredients in this product
22|newborns and preadult babies
22|breastfeeding mothers
22|people who are allergic to one of its ingredients
23|Hypersensitive
23|Sufferers of intestinal obstruction
23|Sufferers should avoid constipation
24|Avoid using OB Herbal if you have a history of allergies to any of the ingredients in the medicine
25|Patients who experience hypersensitivity reactions to one of the drug ingredients. You will experience several symptoms, such as the appearance of a rash, itching and swelling
25|Severe insomnia
26|Patients who are hypersensitive to the components of this drug
27|Patients who are hypersensitive to one of the components of the drug
28|Patients who are hypersensitive to one of the components of the drug
29|Patients with hypersensitivity to drugs
30|Patients who are hypersensitive to any of the components of this drug
31|Do not give to patients who are hypersensitive to drug components
32|Patients who are hypersensitive to the components of this drug
32|Pregnant and breastfeeding women
33|SANADRYL Expectorant should not be used in infants, breastfeeding mothers, antibiotic therapy that is ototoxic because it can cause ototoxic reactions. Patients who are hypersensitive to any of the components of the expectorant SANADRYL
34|Sufferers are hypersensitive to any of the ingredients contained in this preparation
34|Patients with heart problems and diabetes mellitus
34|Patients with severe liver dysfunction
35|Hypersensitivity to Bromhexine HCI
35|Guaifenesin or other components in this drug
36|Hypersensitive sufferers
36|glaucoma sufferers
36|bronchial asthma
36|respiratory failure and pregnant or breastfeeding women
37|In pregnant and breastfeeding women
37|sufferers are hypersensitive to one of the active ingredients
37|glaucoma sufferers
37|bronchial asthma
37|respiratory failure should not use this drug
38|Hypersensitive
38|children < 2 years old
38|using more than one cough and cold medicine
38|Kidney illness
38|liver disease
38|children with severe dysentery
38|hypersensitive
39|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
39|Do not exceed the recommended dose
39|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
39|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
39|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
39|Patients who are hypersensitive to the components of this drug
39|Patients with severe liver dysfunction
39|Patients with heart problems and diabetes mellitus
40|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
40|Do not exceed the recommended dose
40|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
40|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
40|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
40|Patients who are hypersensitive to the components of this drug
40|Patients with severe liver dysfunction
40|Patients with heart problems and diabetes mellitus
41|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
41|Do not exceed the recommended dose
41|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
41|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
41|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
41|Patients who are hypersensitive to the components of this drug
41|Patients with severe liver dysfunction
41|Patients with heart problems and diabetes mellitus
42|It should not be given to patients who are sensitive to other sympathomimetic drugs such as ephedrine, phenylpropanolamine, phenylephrine, sufferers of severe high blood pressure, and those receiving monoamine oxidase MAO inhibitor type antidepressant therapy.
42|Do not exceed the recommended dose
42|Be careful when using it in people with high blood pressure or who have the potential for high blood pressure or stroke, such as in people who are overweight or elderly.
42|If within 3 days the flu symptoms do not decrease, immediately contact a doctor or health service unit
42|Stop using this medicine if you experience insomnia, heart palpitations and dizziness
42|Patients who are hypersensitive to the components of this drug
42|Patients with severe liver dysfunction
42|Patients with heart problems and diabetes mellitus
