id|name|category|indication
0|Antasida Doen Tablet Kunyah|stomach|gastric ulcer medicine to reduce gastric pain caused by excess gastric acid with symptoms such as nausea, bloating.
1|Dexanta Tablet Kunyah|stomach|Reduces symptoms of excess gastric acid, gastritis, gastric ulcers, duodenal ulcers such as nausea, gastric pain, heartburn, bloating, feeling of fullness in the gastric
2|Esemag Cair|stomach|Helps relieve gastric disorders, such as nausea, vomiting, pain or discomfort in the epigastric.
3|Gastrucid Cair|stomach|Reduces symptoms of excess gastric acid, gastritis, gastric ulcers, duodenal ulcers such as nausea, gastric pain, heartburn, bloating, feeling of fullness in the gastric
4|Gastrucid Tablet Kunyah|stomach|Reduces symptoms of excess gastric acid, gastritis, gastric ulcers, duodenal ulcers such as nausea, gastric pain, heartburn, bloating, feeling of fullness in the gastric
5|Mylanta Cair|stomach|To reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers, with symptoms such as nausea, gastric pain, heartburn
6|Mylanta Tablet Kunyah|stomach|To reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers, with symptoms such as nausea, gastric pain, heartburn
7|New Enzyplex Tablet|stomach|Helps the digestive process, is useful in preventing digestive disorders such as a feeling of burning, bloating, a feeling of fullness in the gastric, conditions where an increase in digestive enzymes is needed such as eating too much, food intolerance, indigestion, etc. Functional digestive disorders
8|Plantacid Forte Cair|stomach|To reduce symptoms associated with excess gastric acid, gastric ulcers, duodenum ulcers with symptoms such as nausea and bloating
9|Plantacid Forte Tablet Kunyah|stomach|To reduce symptoms associated with excess gastric acid, gastric ulcers, duodenum ulcers with symptoms such as nausea and bloating
10|Polycrol Forte|stomach|To reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers, with symptoms such as nausea, gastric pain, heartburn, bloating, and a feeling of fullness in the gastric
11|Polysilane Cair|stomach|To reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers, with symptoms such as nausea, gastric pain, heartburn, bloating, and a feeling of fullness in the gastric
12|polysilane Tablet|stomach|To reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers, with symptoms such as nausea, gastric pain, heartburn, bloating, and a feeling of fullness in the gastric
13|Promag Cair 60 ml|stomach|PROMAG is used to reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers with symptoms such as nausea, gastric pain, heartburn, bloating and a feeling of fullness in the gastric
14|Promag Sachet Herbal|stomach|Overcoming flatulence and bloating
15|Promag Sachet Suspensi|stomach|To reduce symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers with symptoms such as nausea, gastric pain, heartburn, bloating and a feeling of fullness in the gastric
16|Promag Tablet Kunyah|stomach|Relieve symptoms associated with excess gastric acid, gastritis, gastric ulcers, duodenum ulcers with symptoms such as nausea, gastric pain, heartburn, bloating and a feeling of fullness in the gastric
17|Bisolvon Extra|cough|This drug is used as a mucolytic secretolytic and expectorant to relieve cough with phlegm and make it easier to expel phlegm
18|Cohistan|cough|COHISTAN EXPECTORANT liquefies thick secretions to make them easier to expel and relieves productive coughs and coughs due to allergies
19|Decadryl|cough|To relieve coughing up phlegm due to allergies
20|Fluimucil Dry Syrup|cough|Dilutes phlegm in the respiratory tract
21|herbaKOF|cough|Helps relieve coughs and helps clear the throat
