id_drug|drug_interaction
0|Aluminum hydroxide will reduce the absorption of various vitamins and Tetracyclin
1|Coadministration with cimetidine or tetracycline may reduce the absorption of cimetidine or tetracycline
3|Coadministration with Cimetidine or Tetracycline may reduce the absorption of the drug
4|Coadministration with Cimetidine or Tetracycline may reduce the absorption of the drug
5|Unless recommended by a doctor, do not use it within 2 hours after consuming other drugs, especially Cimetidine Tetracycline. Avoid drinks containing acidic fruit juice, wine, etc. because they can affect drug absorption. Patients should consult a doctor before using this product together with Raltegravir, Dolutegravir, Elvitegravir
6|Unless recommended by a doctor, do not use it within 2 hours after consuming other drugs, especially Cimetidine Tetracycline. Avoid drinks containing acidic fruit juice, wine, etc. because they can affect drug absorption. Patients should consult a doctor before using this product together with Raltegravir, Dolutegravir, Elvitegravir
7|Consuming vitamin B6 above 5-10 mg per day can reduce the effectiveness of levodopa
7|Affects the duration of altretamine and increases amiodarone-induced photosensitivity, and reduces phenytoin concentrations
8|Coadministration with cimetidine or tetracycline can reduce the absorption of the drug
9|Coadministration with cimetidine or tetracycline can reduce the absorption of the drug
10|Coadministration with cimetidine or tetracycline can reduce the absorption of the obal
11|Coadministration with cimetidine or tetracycline can reduce the absorption of the drug
12|Decreased effectiveness of aspirin, cimetidine, pazopanib, digoxin, and some antibiotics, such as ciprofloxacin, levofloxacin, tetracycline, doxycycline, cefuroxime, or azithromycin
12|Increased risk of aluminum poisoning if used with vitamin D3
13|Coadministration with cimetidine or tetracycline can reduce the absorption of the drug
14|Decreased absorption of bisphosphonates, digoxin, estramustine, iron, pazopanib, strontium, tetracycline drugs, quinolone drugs, or thyroid drugs, such as levothyroxine
14|Decreased effectiveness of drugs containing estrogen, for example birth control pills
14|Increased magnesium levels in the blood (hypermagnesemia), especially in people with impaired kidney function, if used with vitamin D3
17|Concurrent administration with antibiotics (amoxicillin, cefuroxime, erythromycin, doxycycline) will increase antibiotic concentrations
18|Potentially fatal increased anticholinergic effects of MAOIs
18|Increased levels of phenytoin in the blood increase the risk of drug poisoning
18|Increased antimuscarinic effect of tricyclic antidepressants
18|Increased drowsiness and risk of complications if used with opioid painkillers, antianxiety drugs, sedatives or antipsychotic drugs
19|Diphenhydramine HCI reduces the effects of oral anticoagulants through enzyme induction
19|Diphenhydramine HCl produces dangerous effects when administered with alcohol, hypnotics, sedatives, tranquilizers and drugs that cause central nervous system depression.
19|Diphenhydramine HCI and Phenobarbital are both enzyme inducers, coadministration reduces antihistamine activity and reduces barbiturate activity
19|Diphenhydramine HCl increases the cardiovascular effects of Epinephrine and Norepinephrine
19|Ammonium chloride lowers the pH of urine, thereby reducing the excretion of Salicylic acid. Thus the levels of Salicylic acid in the blood increase
19|Ammonium chloride with Sulfonamide causes the formation of crystals in the urine and complications due to a decrease in the pH of the urine
20|antitussive
20|tetracycline
20|nitroglycerin
21|It is not yet known what interactions between drugs will occur if Herbakof Herbal Cough Syrup 100 ml is used with other drugs, supplements or herbal products.
21|To be safe, always consult a doctor if you plan to take this product with other medications
22|If this drug is used with sedatives, antidepressants, or other antihistamines, severe drowsiness and side effects that can be fatal can occur.
23|There is no information about drug interactions when Laserin is used with other active substances
24|There is no information regarding interactions of Herbal OB drugs with other active substances
25|There is no information regarding the interaction of mother and child cough medicine with other medicines
27|Ammonium chloride can reduce levels of the drugs methylenedioxymethamphetamine, lisdexamfetamine, pseudoephedrine, and dextroamphetamine
27|Ammonium chloride and diclofenamide can lower potassium levels
27|Tell your doctor or pharmacist if you are taking supplements, herbal products, or other medications
31|When used with monoamine oxidase inhibitors, MAOIs, such as isocarboxazid
31|This drug can increase drowsiness and side effects that can be fatal
32|May potentiate other central nervous system depressants
32|Prolonged action of MAOI monoamine oxidase inhibitors
33|The following are some drugs that can interact with Sanadryl Expectorant: Other central nervous system depressants, MAOI drugs.
34|Severe CNS stimulation and respiratory depression may occur during coadministration with MAO inhibitors
35|Concomitant administration with antibiotics amoxicillin, cefuroxime, doxycycline will increase the antibiotic concentration
36|Severe central nervous system stimulation and respiratory depression may occur with concurrent administration with MAO inhibitors
37|Concomitant use with MAO inhibitors may cause CNS stimulation and severe respiratory depression
39|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
40|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
41|Combination with MAO inhibitors and causes a drastic increase in blood pressure, prolongs the duration of action, and increases the antihistamine effect
41|Cholestyramine can decrease the absorption of paracetamol
41|The combination of metoclopramide and domperidone can increase the toxicity of paracetamol
41|Coadministration of warfarin may increase warfarin levels
41|Concomitant use with alcohol, antidepressants, and barbiturates will strengthen the sedative effect causing strong drowsiness.
41|Glycyrrhizae combined with digoxin can increase the toxicity of digoxin
41|Combination with furosemide can reduce potassium levels
42|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
43|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
44|MAOI antidepressant drugs will cause a hypertensive crisis if given simultaneously with Sanaflu
45|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
46|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
47|Combination with MAO inhibitors and causes a drastic increase in blood pressure, prolongs the duration of action, and increases the antihistamine effect
47|Cholestyramine can decrease the absorption of paracetamol
47|The combination of metoclopramide and domperidone can increase the toxicity of paracetamol
47|Coadministration of warfarin may increase warfarin levels
47|Concomitant use with alcohol, antidepressants, and barbiturates will strengthen the sedative effect causing strong drowsiness.
47|Glycyrrhizae combined with digoxin can increase the toxicity of digoxin
47|Combination with furosemide can reduce potassium levels
48|Concomitant use of MAO inhibitor type antidepressants can result in hypertensive crisis
