id_obat|profil|dosis
0|Dewasa|1-2 tablet, 3-4 kali per hari.
0|Anak 6-12 tahun|0.5-1 tablet, 3-4 kali per hari
1|all|3 x sehari 1-2 tablet kunyah
2|all|3 x sehari @ 1 sachet
3|Dewasa|3-4 kali sehari 1-2 sendok takar 5-10 ml
3|Anak-anak 6-12 tahun|3-4 kali sehari 12-1 sendok takar 2.5-5 ml
4|all|3 x sehari 1-2 tablet kunyah
5|Dewasa|1-2 sendok takar 5-10 mL 3-4 kali sehari
5|Anak-anak 6 - 12 tahun|12 - 1 sendok takar 2.5 - 5 mL, sebanyak 3-4 kali sehari
6|Dewasa|1-2 tablet, diberikan 3-4 kali sehari.
6|Anak-anak 6-12 tahun|0.5-1 tablet, diberikan 1-2 kali sehari
7|all|1-2 tablet per hari
8|Dewasa|3-4 kali sehari 5-10 ml
8|Anak-anak 6-12 tahun|3-4 kali sehari 2.5-5 ml. Diberikan 1-2 jam setelah makan dan menjelang tidur
9|Dewasa|3-4 x sehari 1 - 2 tablet Plantacid
9|Anak - anak 6-12 th|3-4 x sehari 12 - 1 tablet Plantacid Plantacid Forte diberikan bila diperlukan dosis antasida yang lebih besar
10|all|1-2 tablet kunyah 3 kali sehari
11|Dewasa|5 - 10 ml, diminum 3-4 kali per hari
11|Anak 6-12 tahun|2.5 - 5 ml diminum 3-4 kali per hari
12|Dewasa|3-4 kali sehari 1-2 tablet
12|Anak 4 tahun|2 tablet per hari
13|Dewasa|1-2 sendok takar 5-10 ml, 3-4 kali sehari
13|Anak usia 6-12 tahun|1 sendok takar 5 ml, 3-4 kali sehari
14|all|3 x sehari 1 sachet
15|Dewasa|3-4 x sehari 1-2 sachet
15|anak 6-12 tahun|12-1 sachet
16|Dewasa dan anak 12 tahun|3-4 kali sehari 1-2 tablet
16|Anak-anak 6 - 12 tahun|3 - 4 kali sehari 0.5 - 1 tablet. Atau menurut petunjuk dokter
17|Dewasa dan Anak diatas 12 tahun|10 ml sendok takar 5 ml, diberikan 3 kali perhari
17|Anak 6-12 tahun|5 ml 1 sendok takar 5 ml, diberikan 3 kali per hari
17|Anak 2-6 tahun|2.5 ml setengah sendok takar 5 ml, diberikan 3 kali per hari
18|Dewasa|3-4 x sehari 1 sendok makan 15 ml
18|Anak usia 7-12 tahun|3-4 x sehari 12 sendok makan 15 ml
18|Anak usia 2-6 tahun|3-4 x sehari 1 sendok teh 5 ml
19|Dewasa|1-2 Sendok takar tiap 3 jam, tidak boleh lebih dari 14 sendok takar per hari
19|Anak 6-12 tahun|12 - 1 sendok takar tiap 3 jam, tidak boleh lebih dari 6 sendok takar per hari
20|Dewasa|2 sendok takar 10 ml, 2-3 kali per hari
20|Anak-anak 2-4 tahun| 2-4 kali sehari, 200 mg/hari
20|Anak-anak diatas 4 tahun|300 mg/hari
21|Dewasa|3 x sehari, 3 sendok takar 15 ml
21|Anak-anak 6-12 tahun|3 x sehari, 1 sendok takar 5 ml
22|Dewasa|2 sendok takar 10 ml, 3 kali per hari
22|Anak-anak 6-12 tahun|1 sendok takar 5 ml, 3 kali per hari
23|Dewasa|3 x sehari 1-2 sendok makan
23|Anak|3 x sehari 1-2 sendok teh
23|Bayi|2 x sehari 12 sendok teh. Atau menurut petunjuk dokter
24|Dewasa|3 x 1 Sendok Makan 15 ml
24|Anak-anak 2 Tahun|3 x 12 Sendok Makan 7.5 ml
25|Dewasa dan anak 12 tahun|3 kali per hari 1 sendok takar 15ml
25|Anak 7-12 tahun|3 Kali sehari 23 sendok takar 10ml
25|Anak 3-6 tahun|3 Kali sehari 13 sendok takar 5ml
26|Dewasa|3 x sehari 3 sendok takar (15 ml)
26|Anak-anak|3 x sehari 1 sendok takar (5 ml)
27|Dewasa|1-4 kali sehari, 2 sachet 15 ml
28|Dewasa|3-4 x sehari 1 sendok makan 15 ml
28|Anak|3-4 x sehari 1 sendok teh 5 ml
29|Dewasa dan anak 12 tahun|sehari 3-4 kali 3 sendok teh 15 ml
29|Anak-anak umur 6 - 12 tahun|sehari 3-4 kali 1 sendok teh 5 ml
29|Anak-anak 6 tahun|Sesuai petunjuk dokter
30|Dewasa dan anak-anak usia diatas 12 tahun|3 kali sehari 3 sendok takar
30|Anak-anak usia 6 - 12 tahun|3 kali sehari 1.5 sendok takar
31|Dewasa|10 mL 3-4 x sehari
31|Anak 6-12 thn|5 mL 3-4 x sehari
32|Dewasa|3-4 kali sehari 2 sendok takar 10 ml
32|Anak 6-12 tahun|3-4 kali sehari 1 sendok takar 5 ml
33|Anak-anak 6-12 tahun|5 ml, 3-4 kali sehari
33|Dewasa|10 ml, 3-4 kali sehari
34|Dewasa dan anak-anak diatas 12 tahun|3 kali sehari, 1 sendok takar 5 ml
34|Anak-anak 6 - 12 tahun|3 kali sehari, 0.5 sendok takar 2.5 ml
35|Dewasa dan anak-anak lebih dari 10 tahun|3 kali sehari 1 sendok takar 5 ml
35|Anak-anak 5-10 tahun|3 kali sehari 12 sendok takar 2.5 ml
36|Dewasa|12 tahun ke atas 2 sendok takar 10 ml
36|Anak-anak|6-12 tahun 1 sendok takar 5 ml
37|Dewasa dan anak 12 tahun|3 x sehari, 10 ml
37|Anak-anak 6-12 tahun|3 x sehari, 5 ml
38|Dewasa|sehari 2 - 4 sendok teh tiap 4 jam
39|Anak 6-12 tahun|5 mL 1 sendok takar
39|Dewasa dan anak 12 tahun|10 mL 2 sendok takar Anak 2-6 tahun Atas petunjuk Dokter
40|Dewasa|3 x sehari 4 sendok takar 20 ml
40|Anak-anak 6-12 tahun|3 x sehari 2 sendok takar 10 ml atau menurut petunjuk dokter
41|Dewasa dan anak-anak usia diatas 12 tahun|3 kali sehari 3 sendok takar
41|Anak-anak usia 6 - 12 tahun|3 kali sehari 1.5 sendok takar
42|Anak usia 6 - 12 tahun|3 kali sehari 1 sendok takar 5 ml
42|Dewasa|3 kali sehari 3 sendok takar 15 ml
43|Anak-anak 2-5 th|1 sendok teh (5 ml), 3 kali sehari
43|Anak-anak 6-12 th|2 sendok teh (10 ml), 3 kali sehari
43|Dewasa|4 sendok teh (20 ml), 3 kali sehari
44|Dewasa|3 kali sehari 1 kaplet
44|Anak 6-12 tahun|3 kali sehari 12 kaplet
45|Anak 6-12 tahun|5 mL 1 sendok takar
45|Dewasa dan anak 12 tahun|10 mL 2 sendok takar Anak 2-6 tahun Atas petunjuk Dokter
46|Dewasa|3 x sehari 4 sendok takar 20 ml
46|Anak-anak 6-12 tahun|3 x sehari 2 sendok takar 10 ml atau menurut petunjuk dokter
47|Dewasa dan anak-anak usia diatas 12 tahun|3 kali sehari 3 sendok takar
47|Anak-anak usia 6 - 12 tahun|3 kali sehari 1.5 sendok takar
48|Anak usia 6 - 12 tahun|3 kali sehari 1 sendok takar 5 ml
48|Dewasa|3 kali sehari 3 sendok takar 15 ml
49|Dewasa|3 kali sehari 1 kaplet
49|Anak 6-12 tahun|3 kali sehari 12 kaplet
50|Dewasa dan anak-anak di atas 12 tahun|1 sendok takar 5 ml, 3 kali sehari
50|Anak-anak usia 6-12 tahun|12 sendok takar 2,5 ml, 3 kali sehari
51|Dewasa dan anak-anak di atas 12 tahun|1 sendok takar 5 ml, 3 kali sehari
51|Anak-anak usia 6-12 tahun|12 sendok takar 2,5 ml, 3 kali sehari
52|Dewasa dan anak-anak diatas 12 tahun|3 kali sehari 2 sendok takar 10 ml
52|Anak-anak 6-12 tahun|3 kali sehari 1 sendok takar 5 ml Anak-anak 4-6 tahun 3 kali sehari 12 sendok takar 2.5 ml
53|Dewasa|1 sendok makan 15 ml, 3-4 kali sehari
53|Anak-anak|1 sendok takar 5 ml, 3-4 kali sehari
54|Anak-anak 2 - 5 tahun|1 sendok takar 5 ml, 3 kali sehari
54|Anak-anak 6 - 12 tahun|2 sendok takar 5 ml, 3 kali sehari
55|2-6 tahun|1 sendok takar 5 mL
55|6-12 tahun|2 sendok takar 10 mL
55|12 tahun ke atas|4 sendok takar 20 mL
56|Anak-anak 6-12 tahun|3 x 2 sendok takar 10 ml
57|Anak-Anak| 3 x sehari 1-2 sendok teh 5-10 ml
58|Dewasa dan Anak 10 tahun|3 x 10 ml per hari
58|Anak 5 - 10 tahun|3 x 5 ml per hari
58|Anak 2 - 5 tahun|2 x 5 ml per hari
59|Anak 5 - 10 tahun|3 x 2 ml per hari
59|Anak 2 - 5 tahun|2 x 2 ml per hari
60|2-5 tahun|1 sendok takar 3 x sehari
60|6-12 tahun|2 sendok takar 3 x sehari
61|Anak-anak 6-12 tahun|sehari 3 x 10 ml
62|umur 2-5 tahun|sehari 3 x 5 ml
62|umur 6-12 tahun|sehari 3 x 10 ml
63|umur 6-12 tahun|3 x sehari 2 sendok takar (10 ml)
63|umur 2-6 tahun|3 x sehari 2 sendok takar (5 ml)
64|6-12 tahun|3 x sehari 2 sendok takar 10 ml
64|2-6 tahun|3 x sehari 1 sendok takar 5 ml
65|Anak 6-12 tahun|5 ml tiap 6-8 jam, maksimal 4 dosis dalam 24 jam
66|Anak umur 2-6 tahun|Sesuai petunjuk dokter
66|Anak umur 6-12 tahun|3 kali sehari 2 sendok takar
67|Anak umur 2 <6 tahun|sesuai petunjuk dokter
67|Anak umur 6-12 tahun|3 x sehari 2 sendok takar
68|Anak 2-6 tahun|3 kali sehari 1 sendok takar 5 ml
68|Anak 6-12 tahun|3 kali sehari 2 sendok takar 10 ml
69|Anak usia 2-6 tahun|3x sehari 1 sendok takar 5 ml
69|Anak usia 6-12 tahun|3x sehari 2 sendok takar 10 ml
70|di bawah 6 th|atas petunjuk dokter
70|6-12 th|1 sendok takar 5 ml 3x sehari
70|di atas 12 th|2 sendok takar 10 ml 3x sehari
71|Dewasa - Anak 12 tahun|3 x sehari 2 sendok takar
71|Anak 6-12 tahun|3x sehari 1 sendok takar
71|Anak 2-6 tahun|3 x sehari sendok takar
71|Anak 2 tahun|menurut petunjuk dokter
72|2-5 tahun|3 x sehari 2 sendok takar 5 ml
72|6-12 tahun|3 x sehari 2 sendok takar 10 ml
73|Anak 6-12 tahun|10 mL 2 sendok takar, 3 kali sehari
73|Dewasa dan anak 12 tahun|20 mL 4 sendok takar, 3 kali sehari
74|Usia 2-6 tahun|12 Sendok takar 2,5 ml 3 x Sehari
74|Diatas 6-12 tahun|1 Sendok takar 5 ml 3 x Sehari
74|Diatas 12 tahun|2 Sendok takar 10 ml 3 x Sehari
75|Dewasa dan anak-anak lebih dari 12 tahun|10 ml, tiga kali sehari
75|Anak-anak 6-12 tahun|5 ml, tiga kali sehari
75|Anak-anak 2-5 tahun|2,5 ml, tiga kali sehari
75|Anak-anak di bawah 2 tahun|atas petunjuk dokter
76|Anak-anak 2-5 tahun|2 x 0,4 ml larutan 0,8 ml, tiga kali sehari
76|Anak-anak di bawah 2 tahun|atas petunjuk dokter
77|Anak usia 2-6 tahun|3 x sehari 1/2 sendok takar 2,5 ml
