id_obat|interaksi_obat
0|Aluminium hydroxide akan mengurangi absorpsi bermacam- macam vitamin Tetracyclin
1|Pemberian bersama dengan cimetidine atau tetracycline dapat mengurangi absorpsi cimetidine atau tetracycline
3|Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut
4|Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut
5|Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir
6|Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir
7|Konsumsi vitamin B6 di atas 5-10 mg per hari dapat mengurangi efektivitas levodopa
7|Mempengaruhi durasi altretamine dan meningkatkan fotosensitifitas yang diinduksi oleh amiodaron, dan mengurangi konsentrasi fenitoin
8|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut
9|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut
10|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obal tersebut
11|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut
12|Penurunan efektivitas aspirin, cimetidine, pazopanib, digoxin, dan beberapa antibiotik, seperti ciprofloxacin, levofloxacin, tetracycline, doxycycline, cefuroxime, atau azithromycin
12|Peningkatan risiko terjadinya keracunan alumunium jika digunakan dengan vitamin D3
13|Pemberian bersama sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obat tersebut
14|Penurunan penyerapan bifosfonat, digoxin, estramustine, zat besi, pazopanib, strontium, obat golongan tetrasiklin, obat golongan quinolone, atau obat tiroid, seperti levothyroxine
14|Penurunan efektivitas obat yang mengandung estrogen, misalnya pil KB
14|Peningkatan kadar magnesium dalam darah (hipermagnesemia) terutama pada penderita gangguan fungsi ginjal, jika digunakan dengan vitamin D3
17|Pemberian bersamaan dengan antibiotika (amoksisilin, sefuroksim, eritromisin, doksisiklin) akan meningkatkan konsentrasi antibiotika
18|Peningkatan efek antikolinergik dari MAOI yang berpotensi fatal
