id_obat|jangka_waktu_penggunaan
0|Jangan digunakan selama 2 minggu
1|bukan untuk dikonsumsi secara rutin atau jangka panjang
3|Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung
4|Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung
5|Tidak dianjurkan untuk digunakan secara terus menerus selama lebih dari 2 minggu, kecuali atas petunjuk dokter
6|Obat ini dapat bekerja cepat, tetapi tidak boleh digunakan untuk jangka panjang
8|Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama
9|Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama
10|Tidak dianjurkan untuk menggunakan Polycrol Forte Tablet lebih dari 2 minggu, kecuali atas petunjuk dokter
11|Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang
12|Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang
13|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
14|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
15|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
16|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
17|Jangan mengonsumsi Bisolvon lebih dari 14 hari, kecuali jika disarankan oleh dokter
18|Obat ini tidak bisa digunakan jangka panjang
19|Obat ini tidak bisa digunakan jangka panjang
20|Jangan menggunakan lebih dari dosis yang dianjurkan Lama pengobatan 5 - 10 hari
22|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
23|Tidak boleh digunakan lebih dari 6 minggu tanpa anjuran dokter
24|Jangan memberikan OB Herbal Junior Sirup ke anak dalam jangka panjang, selama 6 minggu
26|Bukan Untuk Jangka Panjang
