id|nama_obat|kategori_penyakit|indikasi
0|Antasida Doen Tablet Kunyah|lambung|Obat sakit maag untuk mengurangi nyeri lambung yang disebabkan oleh kelebihan asam lambung dengan gejala seperti mual, perih kembung.
1|Dexanta Tablet Kunyah|lambung|Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung
2|Esemag Cair|lambung|Membantu meringankan gangguan lambung, seperti mual, muntah, rasa perih atau tidak enak di ulu hati.
3|Gastrucid Cair|lambung|Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung
4|Gastrucid Tablet Kunyah|lambung|Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung
5|Mylanta Cair|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala- gejala seperti mual, nyeri lambung, nyeri ulu hati
6|Mylanta Tablet Kunyah|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala- gejala seperti mual, nyeri lambung, nyeri ulu hati
7|New Enzyplex Tablet|lambung|Membantu proses pencernaan, bermanfaat mencegah mengatasi gangguan pencernaan seperti rasa sebah, kembung, rasa penuh pada lambung keadaan-keadaan dimana dibutuhkan peningkatan enzim pencernaan seperti makan terlalu banyak, intoleransi terhadap makanan, salah cerna lain-lain gangguan pencernaan fungsional
8|Plantacid Forte Cair|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala-gejala seperti mual dan kembung
9|Plantacid Forte Tablet Kunyah|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala-gejala seperti mual dan kembung
10|Polycrol Forte|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung
11|Polysilane Cair|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung
12|polysilane Tablet|lambung|Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung
13|Promag Cair 60 ml|lambung|PROMAG digunakan untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung
14|Promag Sachet Herbal|lambung|Mengatasi perut kembung dan begah
15|Promag Sachet Suspensi|lambung|Untuk mengurangi gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung
16|Promag Tablet Kunyah|lambung|Meringankan gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung
17|Bisolvon Extra|batuk|Obat ini digunakan sebagai sekretolitik mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak
18|Cohistan|batuk|COHISTAN EXPECTORANT mencairkan sekret yang kental untuk mempermudah pengeluarannya dan meredakan batuk produktif dan batuk karena alergi
19|Decadryl|batuk|Untuk meringankan batuk berdahak karena alergi
20|Fluimucil Dry Syrup|batuk|Mengencerkan dahak di saluran pernapasan
21|herbaKOF|batuk|Membantu meredakan batuk dan membantu melegakan tenggorokan
22|Ikadryl|batuk|Untuk meredakan batuk karena alergi dan influenza serta melegakan saluran pernapasan
23|Laserin|batuk|Membantu meredakan batuk, masuk angin, muntah, sakit perut, dan melegakan tenggorokan
24|OB Herbal|batuk|Membantu meredakan batuk dan membantu melegakan tenggorokan
25|Obat Batuk Cap Ibu dan Anak|batuk|Membantu meredakan batuk berdahak dan membantu melegakan tenggorokan. Membantu memelihara kesehatan paru-paru
26|OBH Berlico Jerus Nipis|batuk|Untuk batuk berdahak
27|OBH Combi Batuk Berdahak|batuk|Untuk meredakan batuk berdahak
28|OBH IKA Obat Batuk Hitam|batuk|Untuk batuk berdahak
29|OBH Itrasal|batuk|Sebagai expectoran batuk berdahak
30|OBH Nellco|batuk|Ekspektoran pada gangguan batuk berdahak
31|Phenacold Expectorant|batuk|Untuk meringankan batuk berdahak yang disebabkan alergi
32|Sanadryl DMP|batuk|Untuk meringankan gejala batuk tidak berdahak yang menimbulkan rasa sakit atau batuk karena alergi
33|Sanadryl Ekspektoran|batuk|Untuk meringankan batuk berdahak yang disebabkan alergi
34|Siladex Antitussive|batuk|Untuk meringankan batuk yang tidak berdahak yang disertai alergi
35|Siladex Mucolytic Expctorant|batuk|Sebagai mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak
36|Vicks Formula 44|batuk|Untuk meringankan batuk yang tidak berdahak yang disertai bersin-bersin alergi
37|Woods Peppermint Antitussive|batuk|Batuk tidak berdahak yang disertai alergi
38|Zenirex|batuk|Untuk meredakan batuk berdahak atau batuk yang disebabkan oleh alergi
39|Decolsin Cair|batuk dan flu|Untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
40|Intunal Cair|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
41|Nellco Special|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
42|OBH Combi Batuk Flu Menthol|batuk dan flu|Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
43|Paratusin PE|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
44|Sanaflu + Batuk|batuk dan flu|Meredakan gejala-gejala flu, demam, sakit kepala, hidung tersumbat
45|Decolsin Cair|batuk dan flu|Untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
46|Intunal Cair|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
47|Nellco Special|batuk dan flu|Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk
48|OBH Combi Batuk Flu Menthol|batuk dan flu|Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
49|Sanaflu + Batuk|batuk dan flu|Meredakan gejala-gejala flu, demam, sakit kepala, hidung tersumbat
50|Actifed Plus Cough Suppressant merah|batuk dan pilek|Meringankan pilek dan batuk gatal kering
51|Actifed Plus Expectorant Hijau|batuk dan pilek|Meringankan pilek batuk berdahak
52|Siladex Cough Cold|batuk dan pilek|Untuk meringankan batuk pilek
53|Silex|batuk dan pilek|SILEXdapat membantu meredakan batuk berdahak, membantu melegakan tenggorokan dan pilek
54|Demacolin Cair|flu|Untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin
55|Vicks Formula 44 Anak-anak|batuk|Untuk meringankan batuk
56|OB Herbal Anak-anak|batuk|Membantu meredakan batuk berdahak dan melegakan tenggorokan
